P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
1RXS 1609 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,,4451.16,,19.04,0.64,12.28,15.29,    4.079750e-06,    4.079751e-06,    4.079751e-06,11.4,11.4,11.4,,,,2870.4,-10.06,36.81,,330.0000,0.00,330.00,,0.0,1RXS 1609,,,Sco,K7V,0.73,1.35,4060.0,0.444285,,0.011,,145.00,16.1583,-21.0828,-13.2,0.0022,1,0,0.540,1.362,800.07,23.51,85.62,0.00,,0.00,0.00,0.05,0,0,0,1,Imaging,      2008.00
1SWASP J1407 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,6358.80,6358.80,,10.94,4.86,53.12,24.11,      0.02166914,      0.02166914,      0.02166914,97.7,97.7,97.7,,,,30873.8,-18.21,20.91,3725.00,3.9000,0.00,3.90,,0.0,1SWASP J1407,,,Cen,K,0.90,0.99,4400.0,0.329588,,0.016,12.4,133.00,14.1300,-39.7619,-22.5,0.1353,1,0,0.461,1.143,9.07,15.30,45.41,0.02,,0.00,0.00,0.07,0,0,0,1,Primary Transit,      2012.00
2M 0103-55(AB) b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,4133.22,4133.22,,11.40,2.79,31.79,19.04,    3.961934e-06,    3.961934e-06,    3.961935e-06,11.4,11.4,11.4,,,,11520.8,-8.91,21.80,,84.0000,0.00,84.00,,0.0,2M 0103-55(AB),,,Phe,M,0.40,0.38,3840.0,0.027955,,0.030,,47.20,1.0600,-55.2656,-13.2,0.0024,1,0,0.136,0.347,793.67,12.57,107.44,0.00,,0.00,0.00,0.06,0,0,0,1,Imaging,      2013.00
2M 0122-24 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,,6358.80,,11.20,4.53,50.69,23.83,    1.033854e-05,    1.033854e-05,    1.033854e-05,14.4,14.4,14.4,,,,28780.4,-9.92,21.41,,52.0000,0.00,52.00,,0.0,2M 0122-24,,,Cet,M3.5,0.40,0.38,3840.0,0.027955,,0.120,,36.00,1.3808,-24.6142,-14.2,0.0039,1,0,0.136,0.347,490.45,15.72,119.46,0.00,,0.00,0.00,0.08,0,0,0,1,Imaging,      2013.00
2M 0219-39 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,,4419.37,,16.13,1.05,16.99,16.55,    2.368772e-07,    2.368772e-07,    2.368773e-07,5.6,5.6,5.6,,,,4655.6,-6.60,31.03,,156.0000,0.00,156.00,,0.0,2M 0219-39,,,For,M6,0.11,0.27,3064.0,0.005765,,,,39.40,2.3228,-39.4231,-10.1,0.0009,1,0,0.062,0.165,3028.82,19.46,133.25,0.00,,0.00,0.00,0.06,0,0,0,1,Imaging,      2015.00
2M 0441+23 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,2384.55,2384.55,,11.66,1.50,17.53,14.30,    1.264487e-07,    1.264487e-07,    1.264487e-07,4.8,4.8,4.8,,,,3585.2,-5.21,22.30,,15.0000,0.00,15.00,,0.0,2M 0441+23,,,Tau,M8.5,0.02,0.01,3840.0,0.000028,,0.001,,140.00,4.6958,23.0308,-9.4,0.0004,1,0,0.004,0.011,4453.14,10.21,124.39,0.00,,0.00,0.00,0.07,0,0,0,1,Imaging,      2010.00
2M 0746+20 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,,9538.20,,10.86,7.44,80.81,29.63,    9.055836e-06,    2.291890e-05,    7.606283e-05,14.0,16.8,23.8,,,,70951.8,-10.87,20.76,4640.00,2.8970,0.49,2.53,41.8,354.4,2M 0746+20,,,Gem,,0.12,0.09,2205.0,0.000168,,,,12.21,7.7786,20.0089,-15.2,0.0187,1,0,0.011,0.029,325.42,20.19,132.41,0.00,,0.00,0.00,0.08,0,0,0,1,Imaging,      2010.00
2M 1207-39 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,1271.76,1271.76,,11.66,0.80,9.36,10.44,    2.736194e-08,    2.736194e-08,    2.736195e-08,3.3,3.3,3.3,,,,1020.6,-3.53,22.30,,46.0000,0.00,46.00,,0.0,2M 1207-39,,,Cen,M8,0.03,0.02,3840.0,0.000058,,0.008,20.1,52.40,12.1258,-39.5483,-7.7,0.0002,1,0,0.006,0.016,9575.68,8.56,109.81,0.00,,0.00,0.00,0.08,0,0,0,1,Imaging,      2004.00
2M 1938+46 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,604.09,604.09,,11.21,0.43,4.81,7.34,       0.1531191,       0.1531191,       0.1531191,159.4,159.4,159.4,,,,259.4,-20.40,21.42,416.00,0.9200,0.00,0.92,,0.0,2M 1938+46,,,Cyg,sdB+M,0.60,,,0.129600,,,,,19.6425,46.0664,-24.7,,1,0,,,2.51,7.35,9.51,0.08,,0.00,0.00,0.24,0,0,0,1,Pulsar,      2015.00
2M 2140+16 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,,6358.80,,10.30,5.81,59.89,24.84,    1.269407e-05,    2.086658e-05,    3.679495e-05,15.2,17.0,19.8,,,,36960.1,-10.54,19.68,7340.00,3.5300,0.26,3.41,46.2,223.0,2M 2140+16,,,Peg,,0.08,0.10,2300.0,0.000251,,,,25.00,21.6747,16.4217,-15.0,0.0156,1,0,0.013,0.035,316.89,14.27,113.50,0.00,,0.00,0.00,0.08,0,0,0,1,Imaging,      2010.00
